chrom	start	end	value
chr15	67093655	67095629	3.07708
chr15	67095629	67095870	2.59065
chr15	67095870	67096658	2.5946
chr15	67096658	67097193	2.59707
chr15	67097193	67097208	2.60133
chr15	67097208	67097320	2.60386
chr15	67097320	67097860	1.26107
chr15	67097860	67099659	0.916707
chr15	67099659	67099732	0.395777
chr15	67099732	67100665	0.245791
chr15	67100665	67100851	0.156371
chr15	67100851	67101284	0.132151
chr15	67101284	67101341	0.116878
chr15	67101341	67102043	0.115945
chr15	67102043	67102099	0.115084
chr15	67102099	67102139	0.113269
chr15	67102139	67102734	0.113525
chr15	67102734	67107309	0.204074
chr15	67107309	67108146	0.802398
chr15	67108146	67109002	1.18851
chr15	67109002	67111296	1.22994
chr15	67111296	67111380	1.26393
chr15	67111380	67111715	1.29124
chr15	67111715	67112807	1.29121
chr15	67112807	67113113	1.28954
chr15	67113113	67113475	1.2744
chr15	67113475	67114071	1.26203
chr15	67114071	67118360	1.26111
chr15	67118360	67120134	1.26032
chr15	67120134	67124051	1.25995
chr15	67124051	67124276	1.33925
chr15	67124276	67124917	1.36796
chr15	67124917	67125377	1.4111
chr15	67125377	67129412	0.815348
chr15	67129412	67129589	0.326838
chr15	67129589	67129986	0.312668
chr15	67129986	67133312	0.313441
chr15	67133312	67138238	0.403192
chr15	67138238	67138334	0.504353
chr15	67138334	67139135	0.510194
chr15	67139135	67139847	0.635552
chr15	67139847	67140142	1.01412
chr15	67140142	67142253	1.08596
chr15	67142253	67142342	1.33599
chr15	67142342	67143750	4.82606
chr15	67143750	67143831	4.72735
chr15	67143831	67143852	4.61014
chr15	67143852	67144020	0.355943
chr15	67144020	67145740	0.355785
chr15	67145740	67146671	0.352372
chr15	67146671	67146810	0.337286
chr15	67146810	67146903	0.328801
chr15	67146903	67147488	0.330905
chr15	67147488	67148356	0.742755
chr15	67148356	67148456	3.70475
chr15	67148456	67150184	3.7235
chr15	67150184	67150721	3.73599
chr15	67150721	67150979	3.74681
chr15	67150979	67151089	3.75621
chr15	67151089	67151267	3.784
chr15	67151267	67151332	2.64018
chr15	67151332	67151378	1.05948
chr15	67151378	67151902	1.03697
chr15	67151902	67152009	1.03169
chr15	67152009	67152143	1.03234
chr15	67152143	67152339	1.06146
chr15	67152339	67152797	1.52673
chr15	67152797	67152845	1.98652
chr15	67152845	67153553	2.11707
chr15	67153553	67153579	2.20678
chr15	67153579	67154028	2.19828
chr15	67154028	67154184	2.16081
chr15	67154184	67155069	1.58451
chr15	67155069	67155221	0.815129
chr15	67155221	67155834	0.813929
chr15	67155834	67157170	0.81106
chr15	67157170	67157715	0.80745
chr15	67157715	67159168	0.0819623
chr15	67159168	67160666	0.0520158
chr15	67160666	67161522	0.0511435
chr15	67161522	67161719	0.0506004
chr15	67161719	67161742	0.0498395
chr15	67161742	67161795	0.0484323
chr15	67161795	67164932	0.0529647
chr15	67164932	67166903	0.183304
chr15	67166903	67168396	0.216568
chr15	67168396	67169486	0.226077
chr15	67169486	67169714	0.233809
chr15	67169714	67169873	0.244871
chr15	67169873	67170113	0.260485
chr15	67170113	67171171	0.263465
chr15	67171171	67173742	0.265063
chr15	67173742	67174193	0.288681
chr15	67174193	67174607	0.378169
chr15	67174607	67175566	0.450696
chr15	67175566	67176316	0.635503
chr15	67176316	67176340	0.820133
chr15	67176340	67176984	0.809486
chr15	67176984	67178396	0.65637
chr15	67178396	67178451	0.536526
chr15	67178451	67180599	0.536998
chr15	67180599	67180856	0.537183
chr15	67180856	67180920	0.538196
chr15	67180920	67181149	0.542059
chr15	67181149	67181524	0.545921
chr15	67181524	67182364	0.549434
chr15	67182364	67185022	0.55029
chr15	67185022	67188057	0.55049
chr15	67188057	67188578	0.550536
chr15	67188578	67192716	0.552672
chr15	67192716	67193084	0.552697
chr15	67193084	67193175	0.555486
chr15	67193175	67193280	0.554085
chr15	67193280	67193724	0.551772
chr15	67193724	67193976	0.550906
chr15	67193976	67196076	0.564115
chr15	67196076	67197240	1.14814
chr15	67197240	67197785	1.34103
chr15	67197785	67198505	1.61422
chr15	67198505	67199952	1.62193
chr15	67199952	67200084	1.62764
chr15	67200084	67201030	1.65016
chr15	67201030	67201794	1.59838
chr15	67201794	67202075	1.01294
chr15	67202075	67202599	1.11614
chr15	67202599	67202620	1.2198
chr15	67202620	67202700	1.35389
chr15	67202700	67204270	1.34322
chr15	67204270	67204983	0.394979
chr15	67204983	67206659	0.388871
chr15	67206659	67207045	0.388869
chr15	67207045	67207183	0.386111
chr15	67207183	67207563	0.385277
chr15	67207563	67208848	0.385136
chr15	67208848	67210184	0.385317
chr15	67210184	67211451	0.398136
chr15	67211451	67213231	0.761575
chr15	67213231	67213272	1.07589
chr15	67213272	67213385	1.24739
chr15	67213385	67213493	1.30914
chr15	67213493	67213830	1.30428
chr15	67213830	67214080	1.2647
chr15	67214080	67214108	1.22281
chr15	67214108	67214616	1.21016
chr15	67214616	67214870	1.20159
chr15	67214870	67215235	1.17579
chr15	67215235	67216138	1.18718
chr15	67216138	67216375	1.26311
chr15	67216375	67216395	1.36332
chr15	67216395	67216827	1.5679
chr15	67216827	67216967	1.59176
chr15	67216967	67217147	1.59957
chr15	67217147	67217274	1.59591
chr15	67217274	67217458	1.59434
chr15	67217458	67217708	5.43808
chr15	67217708	67217747	34.0143
chr15	67217747	67217815	59.9108
chr15	67217815	67218328	59.9968
chr15	67218328	67218532	59.9968
chr15	67218532	67218945	60.0416
chr15	67218945	67219305	60.0416
chr15	67219305	67219730	60.0416
chr15	67219730	67219949	37.8039
chr15	67219949	67220199	5.44945
chr15	67220199	67220317	3.50598
chr15	67220317	67220750	3.50958
chr15	67220750	67221050	3.01519
chr15	67221050	67221497	2.37342
chr15	67221497	67221533	1.73013
chr15	67221533	67222432	0.877212
chr15	67222432	67222731	0.764695
chr15	67222731	67222950	0.713393
chr15	67222950	67223144	0.699703
chr15	67223144	67223227	0.689504
chr15	67223227	67224485	0.68747
chr15	67224485	67224535	0.684404
chr15	67224535	67224701	0.667123
chr15	67224701	67224834	0.665735
chr15	67224834	67225594	0.666689
chr15	67225594	67225985	0.668581
chr15	67225985	67226458	3.72612
chr15	67226458	67226540	5.83694
chr15	67226540	67226798	7.31052
chr15	67226798	67227189	7.36712
chr15	67227189	67227211	7.38995
chr15	67227211	67228085	7.39169
chr15	67228085	67228359	7.3896
chr15	67228359	67228964	7.38048
chr15	67228964	67229058	7.36675
chr15	67229058	67229636	6.55696
chr15	67229636	67229962	6.27932
chr15	67229962	67230097	6.09989
chr15	67230097	67230480	6.11483
chr15	67230480	67230579	6.11348
chr15	67230579	67231181	24.2526
chr15	67231181	67231789	36.8766
chr15	67231789	67232265	37.0037
chr15	67232265	67232645	29.8259
chr15	67232645	67233330	16.6706
chr15	67233330	67233346	4.7043
chr15	67233346	67233647	4.6776
chr15	67233647	67233710	4.67769
chr15	67233710	67233856	4.67725
chr15	67233856	67234251	4.67647
chr15	67234251	67234340	0.413364
chr15	67234340	67235414	0.413042
chr15	67235414	67235782	0.412651
chr15	67235782	67236665	0.412458
chr15	67236665	67239285	1.90855
chr15	67239285	67239366	2.46895
chr15	67239366	67239807	0.728666
chr15	67239807	67239920	0.607296
chr15	67239920	67239950	0.557474
chr15	67239950	67240218	0.496369
chr15	67240218	67240392	0.476248
chr15	67240392	67240477	4.57092
chr15	67240477	67240697	1.72922
chr15	67240697	67240796	0.680957
chr15	67240796	67240871	0.344988
chr15	67240871	67241049	0.316507
chr15	67241049	67241209	0.303973
chr15	67241209	67241653	0.310474
chr15	67241653	67241763	0.329327
chr15	67241763	67243456	0.329204
chr15	67243456	67243654	0.329839
chr15	67243654	67243774	0.330038
chr15	67243774	67245129	0.538208
chr15	67245129	67245492	0.679138
chr15	67245492	67245617	0.773759
chr15	67245617	67245807	0.919403
chr15	67245807	67246428	0.920624
chr15	67246428	67246453	0.921694
chr15	67246453	67246586	0.92178
chr15	67246586	67246636	0.921438
chr15	67246636	67247244	0.922402
chr15	67247244	67247554	0.925228
chr15	67247554	67247678	0.933829
chr15	67247678	67247802	0.949904
chr15	67247802	67247947	3.95228
chr15	67247947	67247983	3.95511
chr15	67247983	67248341	2.63465
chr15	67248341	67248353	1.01597
chr15	67248353	67248528	1.00738
chr15	67248528	67248935	1.00517
chr15	67248935	67249129	1.00502
chr15	67249129	67249276	1.00896
chr15	67249276	67249297	1.01415
chr15	67249297	67249532	1.01307
chr15	67249532	67250229	2.24518
chr15	67250229	67251648	32.3401
chr15	67251648	67251694	36.0732
chr15	67251694	67251715	38.1076
chr15	67251715	67252271	38.1076
chr15	67252271	67252444	38.1076
chr15	67252444	67252685	38.1076
chr15	67252685	67253823	24.2923
chr15	67253823	67253847	3.13344
chr15	67253847	67253959	1.64762
chr15	67253959	67254610	1.6144
chr15	67254610	67254655	1.59099
chr15	67254655	67254835	1.57122
chr15	67254835	67255720	1.56963
chr15	67255720	67255805	1.55649
chr15	67255805	67256027	1.55451
chr15	67256027	67256041	1.55441
chr15	67256041	67256336	1.59196
chr15	67256336	67256528	4.33765
chr15	67256528	67256764	4.81377
chr15	67256764	67256874	6.23985
chr15	67256874	67256979	10.0156
chr15	67256979	67256998	11.7698
chr15	67256998	67257792	11.7093
chr15	67257792	67257880	8.54911
chr15	67257880	67258022	5.16706
chr15	67258022	67258042	0.900506
chr15	67258042	67258347	0.888999
chr15	67258347	67259547	0.357672
chr15	67259547	67259862	0.357356
chr15	67259862	67259899	0.202566
chr15	67259899	67260423	0.176171
chr15	67260423	67261172	0.173916
chr15	67261172	67261513	0.172093
chr15	67261513	67262738	0.171973
chr15	67262738	67263808	0.171938
chr15	67263808	67268203	0.180418
chr15	67268203	67268538	1.53746
chr15	67268538	67269283	1.14809
chr15	67269283	67269391	0.400373
chr15	67269391	67269447	0.165624
chr15	67269447	67270394	0.165579
chr15	67270394	67272947	0.165474
chr15	67272947	67273214	0.165422
chr15	67273214	67273882	0.165416
chr15	67273882	67275760	0.225025
chr15	67275760	67276190	0.624732
chr15	67276190	67276245	1.05248
chr15	67276245	67276485	1.08287
chr15	67276485	67276961	1.08287
chr15	67276961	67277078	0.82118
chr15	67277078	67277347	0.562316
chr15	67277347	67277513	0.439261
chr15	67277513	67277702	0.371689
chr15	67277702	67277760	0.324464
chr15	67277760	67277841	0.324464
chr15	67277841	67278017	0.305204
chr15	67278017	67278741	0.304644
chr15	67278741	67279143	0.304679
chr15	67279143	67280140	0.304651
chr15	67280140	67280157	0.304613
chr15	67280157	67281545	0.304923
chr15	67281545	67282498	0.304923
chr15	67282498	67283098	0.305079
chr15	67283098	67283494	0.305149
chr15	67283494	67285424	0.305738
chr15	67285424	67287430	0.306239
chr15	67287430	67289238	0.386599
chr15	67289238	67289388	0.622483
chr15	67289388	67292544	0.770975
chr15	67292544	67293331	0.49451
chr15	67293331	67294777	0.416737
chr15	67294777	67294808	0.348359
chr15	67294808	67295212	0.344691
chr15	67295212	67295327	0.343026
chr15	67295327	67295930	0.343146
chr15	67295930	67296087	0.34372
chr15	67296087	67296638	0.349538
chr15	67296638	67297987	0.598604
chr15	67297987	67298118	1.03675
chr15	67298118	67298139	1.54659
chr15	67298139	67298649	0.34354
chr15	67298649	67298764	0.138147
chr15	67298764	67299194	0.10198
chr15	67299194	67299521	0.073897
chr15	67299521	67299573	0.0500097
chr15	67299573	67300454	0.0480654
chr15	67300454	67300523	0.046991
chr15	67300523	67300921	0.0470157
chr15	67300921	67301451	0.0469109
chr15	67301451	67301541	0.0469017
chr15	67301541	67301638	0.0469276
chr15	67301638	67301687	0.0469001
chr15	67301687	67301945	0.0468932
chr15	67301945	67302639	0.532661
chr15	67302639	67302803	2.47701
chr15	67302803	67302834	6.09185
chr15	67302834	67303960	6.26687
chr15	67303960	67303987	6.43923
chr15	67303987	67306110	0.352489
chr15	67306110	67308988	0.325013
chr15	67308988	67309272	0.30775
chr15	67309272	67311416	0.307801
chr15	67311416	67311872	0.307923
chr15	67311872	67312334	0.308193
chr15	67312334	67312371	0.308685
chr15	67312371	67312455	0.309363
chr15	67312455	67316307	0.42988
chr15	67316307	67316605	0.488341
chr15	67316605	67316956	1.02861
chr15	67316956	67318029	1.05582
chr15	67318029	67318329	1.07707
chr15	67318329	67318612	0.989435
chr15	67318612	67319203	0.549218
chr15	67319203	67321386	0.392198
chr15	67321386	67322068	0.349643
chr15	67322068	67322098	0.308498
chr15	67322098	67322305	0.283705
chr15	67322305	67323244	0.274711
chr15	67323244	67324387	0.347434
chr15	67324387	67324708	0.434158
chr15	67324708	67324806	0.523056
chr15	67324806	67326140	0.693269
chr15	67326140	67328244	0.900214
chr15	67328244	67328417	1.44234
chr15	67328417	67329863	1.7235
chr15	67329863	67331311	1.74572
chr15	67331311	67331383	1.76848
chr15	67331383	67334680	1.75038
chr15	67334680	67336006	1.74729
chr15	67336006	67336557	1.74392
chr15	67336557	67337890	1.74494
chr15	67337890	67338780	1.73944
chr15	67338780	67338914	1.72005
chr15	67338914	67339646	1.21573
chr15	67339646	67340003	1.21362
chr15	67340003	67340318	1.21301
chr15	67340318	67340506	1.21372
chr15	67340506	67341477	1.20494
chr15	67341477	67341810	1.21604
chr15	67341810	67341979	1.21294
chr15	67341979	67342751	1.24923
chr15	67342751	67342879	1.26463
chr15	67342879	67343081	1.2657
chr15	67343081	67343094	1.26692
chr15	67343094	67343178	1.26273
chr15	67343178	67343265	1.25081
chr15	67343265	67343387	1.25371
chr15	67343387	67343641	1.16293
chr15	67343641	67343889	1.0875
chr15	67343889	67344732	1.41016
chr15	67344732	67346179	0.334032
chr15	67346179	67347686	0.275171
chr15	67347686	67356774	0.275487
chr15	67356774	67359883	0.391056
chr15	67359883	67361308	0.764665
chr15	67361308	67361774	1.33049
chr15	67361774	67361785	1.8601
chr15	67361785	67363283	0.706865
chr15	67363283	67363573	0.241432
chr15	67363573	67365622	0.240065
chr15	67365622	67366833	0.239989
chr15	67366833	67367634	0.236709
chr15	67367634	67369078	0.237238
chr15	67369078	67370121	3.94031
chr15	67370121	67370368	4.19319
chr15	67370368	67370389	4.85473
chr15	67370389	67370445	13.4894
chr15	67370445	67373378	3.71473
chr15	67373378	67374111	2.68962
chr15	67374111	67374349	1.29145
chr15	67374349	67374602	1.2916
chr15	67374602	67375544	0.269916
chr15	67375544	67376000	0.265948
chr15	67376000	67377490	0.266546
chr15	67377490	67377808	0.268797
chr15	67377808	67378033	0.271858
chr15	67378033	67378407	0.282533
chr15	67378407	67378592	0.305152
chr15	67378592	67379222	0.51747
chr15	67379222	67379644	0.602763
chr15	67379644	67379980	0.607104
chr15	67379980	67380146	0.610693
chr15	67380146	67380609	1.78719
chr15	67380609	67380904	1.79459
chr15	67380904	67381558	0.708055
chr15	67381558	67381711	0.643454
chr15	67381711	67382051	0.644965
chr15	67382051	67383287	0.645422
chr15	67383287	67384150	0.745259
chr15	67384150	67384259	0.972214
chr15	67384259	67384451	1.72297
chr15	67384451	67384862	1.71797
chr15	67384862	67385333	0.711356
chr15	67385333	67385469	0.436122
chr15	67385469	67385491	0.209957
chr15	67385491	67385697	0.0932946
chr15	67385697	67385975	0.0819006
chr15	67385975	67386861	0.0883999
chr15	67386861	67387313	0.913701
chr15	67387313	67387396	0.918735
chr15	67387396	67388553	1.23481
chr15	67388553	67389161	1.22085
chr15	67389161	67389412	42.3097
chr15	67389412	67391497	13.0855
chr15	67391497	67391685	13.0787
chr15	67391685	67391739	2.06854
chr15	67391739	67391805	0.0877071
chr15	67391805	67391899	0.0848943
chr15	67391899	67392631	0.0848038
chr15	67392631	67392656	0.0843423
chr15	67392656	67392755	0.0841808
chr15	67392755	67392777	0.0840841
chr15	67392777	67393045	0.0840086
chr15	67393045	67393343	0.0839889
chr15	67393343	67394019	0.0862049
chr15	67394019	67394119	0.0923306
chr15	67394119	67394270	0.131493
chr15	67394270	67394294	0.190072
chr15	67394294	67394384	0.251611
chr15	67394384	67394444	0.514553
chr15	67394444	67394498	1.04985
chr15	67394498	67395488	0.361366
chr15	67395488	67397328	0.361265
chr15	67397328	67399084	0.575897
chr15	67399084	67399546	0.592655
chr15	67399546	67399897	0.593451
chr15	67399897	67400457	0.592558
chr15	67400457	67400490	0.74506
chr15	67400490	67401466	0.819866
chr15	67401466	67401588	0.827769
chr15	67401588	67401746	0.848217
chr15	67401746	67407899	13.4654
chr15	67407899	67408241	13.504
chr15	67408241	67411401	12.8712
chr15	67411401	67412038	8.09015
chr15	67412038	67412049	4.09687
chr15	67412049	67412596	1.71493
chr15	67412596	67413564	2.31949
chr15	67413564	67413837	4.25214
chr15	67413837	67414055	14.7425
chr15	67414055	67414237	14.9329
chr15	67414237	67414425	15.1264
chr15	67414425	67415484	3.72404
chr15	67415484	67416445	2.56244
chr15	67416445	67416529	2.56281
chr15	67416529	67416752	0.498345
chr15	67416752	67417608	0.41929
chr15	67417608	67417800	3.94227
chr15	67417800	67418104	0.221551
chr15	67418104	67418205	0.187244
chr15	67418205	67418233	0.171713
chr15	67418233	67418391	0.165978
chr15	67418391	67418937	0.166852
chr15	67418937	67419013	0.167632
chr15	67419013	67419612	0.168665
chr15	67419612	67419987	0.169638
chr15	67419987	67420680	0.170089
chr15	67420680	67420718	0.170383
chr15	67420718	67421081	0.170984
chr15	67421081	67421320	0.171895
chr15	67421320	67422077	0.173562
chr15	67422077	67422660	0.175972
chr15	67422660	67422702	0.180519
chr15	67422702	67423306	0.182913
chr15	67423306	67423336	0.18533
chr15	67423336	67425033	0.185683
chr15	67425033	67425456	0.185766
chr15	67425456	67425574	0.185842
chr15	67425574	67427125	0.186334
chr15	67427125	67428014	0.193201
chr15	67428014	67428334	0.20164
chr15	67428334	67429027	0.241696
chr15	67429027	67429522	0.361337
chr15	67429522	67430223	0.363898
chr15	67430223	67430552	0.870775
chr15	67430552	67430733	0.872927
chr15	67430733	67431208	0.884535
chr15	67431208	67431632	0.91611
chr15	67431632	67432091	0.922368
chr15	67432091	67432155	0.926591
chr15	67432155	67432161	0.927998
chr15	67432161	67432515	0.927848
chr15	67432515	67432676	0.928399
chr15	67432676	67433174	4.64705
chr15	67433174	67433941	7.80792
chr15	67433941	67434058	8.3833
chr15	67434058	67434348	8.4179
chr15	67434348	67435075	8.37025
chr15	67435075	67435399	8.37025
chr15	67435399	67437385	8.36958
chr15	67437385	67437863	8.3676
chr15	67437863	67438091	8.36629
chr15	67438091	67438563	8.36498
chr15	67438563	67438586	8.36325
chr15	67438586	67439207	8.36202
chr15	67439207	67441764	6.84784
chr15	67441764	67441866	0.881765
chr15	67441866	67441997	0.735453
chr15	67441997	67442386	0.745976
chr15	67442386	67442555	0.769129
chr15	67442555	67442596	0.798615
chr15	67442596	67443964	0.735369
chr15	67443964	67444393	0.477203
chr15	67444393	67444498	0.14838
chr15	67444498	67444747	0.0241065
chr15	67444747	67446785	0.0211006
chr15	67446785	67446831	0.0182163
chr15	67446831	67446873	0.0182163
chr15	67446873	67447452	0.017344
chr15	67447452	67447895	0.016385
chr15	67447895	67448670	0.0158949
chr15	67448670	67448899	0.0156418
chr15	67448899	67449660	0.015531
chr15	67449660	67450305	0.0155231
chr15	67450305	67450362	0.0155121
chr15	67450362	67450474	0.015509
chr15	67450474	67450893	0.0154985
chr15	67450893	67450909	0.0154861
chr15	67450909	67451215	0.0154932
chr15	67451215	67451721	0.0154962
chr15	67451721	67451774	0.0154962
chr15	67451774	67451954	0.0155165
chr15	67451954	67453889	0.0155165
chr15	67453889	67457335	0.475622
chr15	67457335	67457850	0.549984
chr15	67457850	67458152	1.36527
chr15	67458152	67458639	3.32359
chr15	67458639	67458930	1.18833
chr15	67458930	67459013	0.579437
chr15	67459013	67459810	0.579427
