"","gene","p_val","p_val_adj","avg_log2FC","celltype"
"PRDM16","PRDM16",2e-04,0.0414,3.46,"FAP1"
"THEGL","THEGL",2e-04,0.0416,1.89,"FAP1"
"AC114971.1","AC114971.1",5e-04,0.042,3.94,"FAP3"
"AC006460.2","AC006460.2",6e-04,0.0422,1.32,"FAP3"
"LINC02245","LINC02245",6e-04,0.0422,1.57,"FAP3"
"NUP210L","NUP210L",6e-04,0.0422,1.74,"FAP3"
"SOD2","SOD2",0.0088,0.0424,3.62,"FAP4"
"TMEM255A","TMEM255A",2e-04,0.0425,2.33,"FAP1"
"EPHA2","EPHA2",2e-04,0.0425,2.21,"FAP1"
"EPHA7...131","EPHA7",6e-04,0.0426,3.47,"FAP3"
"RABGEF1","RABGEF1",0.009,0.0431,1.97,"FAP4"
"TBX18...133","TBX18",6e-04,0.0445,1.21,"FAP3"
"ICAM4","ICAM4",2e-04,0.0456,4.39,"FAP1"
"SCARA5","SCARA5",0.0099,0.0457,3.68,"FAP4"
"DLC1","DLC1",0.0099,0.0457,1.61,"FAP4"
"ANKH","ANKH",0.01,0.0458,3.28,"FAP4"
"LMO3","LMO3",3e-04,0.0462,2.33,"FAP1"
"PBK","PBK",3e-04,0.0462,1.68,"FAP1"
"TBX18...140","TBX18",3e-04,0.0462,1.26,"FAP1"
"PDZRN4","PDZRN4",3e-04,0.0462,2.26,"FAP1"
"AL513166.1","AL513166.1",3e-04,0.0462,1.06,"FAP1"
"RORB","RORB",7e-04,0.0467,2.18,"FAP3"
"PLEKHA6","PLEKHA6",7e-04,0.0468,1.94,"FAP3"
"AL078604.4...145","AL078604.4",0.0106,0.0469,5.99,"FAP4"
"CD44","CD44",0.0106,0.0469,2.93,"FAP4"
"ADGRB3","ADGRB3",7e-04,0.047,2.71,"FAP3"
"TPRG1","TPRG1",7e-04,0.047,1.25,"FAP3"
"SMAD3","SMAD3",7e-04,0.047,1,"FAP3"
"AL033523.1...150","AL033523.1",7e-04,0.0471,1.66,"FAP3"
"C1R","C1R",0.0108,0.0473,4.02,"FAP4"
"RSPO3...152","RSPO3",3e-04,0.0474,1.72,"FAP1"
"DHDH","DHDH",8e-04,0.0474,1.42,"FAP3"
"FBXL7","FBXL7",0.011,0.0476,2.71,"FAP4"
"EFCAB13...155","EFCAB13",0,0.0478,2.23,"FAP2"
"LGI4","LGI4",3e-04,0.0482,1.62,"FAP1"
"CNTN3","CNTN3",3e-04,0.0483,2.58,"FAP1"
"ERRFI1","ERRFI1",0.0116,0.0494,3.49,"FAP4"
"CNTFR","CNTFR",3e-04,0.0496,2.47,"FAP1"
