"","gene","p_val","p_val_adj","avg_log2FC","celltype"
"MYH11","MYH11",1e-04,0.0311,4.95,"FAP1"
"TENM4","TENM4",0.0031,0.0311,4.35,"SMC1"
"FEM1C","FEM1C",0.0031,0.0311,1.56,"SMC1"
"LARP6","LARP6",0.0032,0.0312,1.19,"SMC1"
"ANXA1","ANXA1",0.0032,0.0312,1.53,"SMC1"
"CYP1B1","CYP1B1",0.0032,0.0313,3.81,"SMC1"
"CASC15","CASC15",3e-04,0.0315,2.02,"FAP3"
"PRKCE","PRKCE",3e-04,0.0315,1.15,"FAP3"
"EPB41L3","EPB41L3",0.0032,0.0317,5.94,"SMC1"
"PTPRS","PTPRS",0.0033,0.0317,1.15,"SMC1"
"IGF1","IGF1",0.0033,0.0318,4.25,"SMC1"
"ABI3BP","ABI3BP",0.0033,0.0318,4.99,"SMC1"
"ANTXR2...509","ANTXR2",0.0033,0.0318,1.8,"SMC1"
"EOGT","EOGT",3e-04,0.0323,2.15,"MSM"
"SCGB2B2","SCGB2B2",0.0034,0.0324,1.72,"SMC1"
"AL021707.1","AL021707.1",0.0034,0.0327,1.09,"SMC1"
"AGMO","AGMO",0.0034,0.0327,1.76,"SMC1"
"GSE1","GSE1",0,0.0329,2.24,"SMC2"
"GJA1","GJA1",0.0035,0.0329,3.27,"SMC1"
"ALPK1...516","ALPK1",3e-04,0.0332,1.26,"FAP3"
"AL355304.1","AL355304.1",3e-04,0.0332,1.8,"FAP3"
"DGKI","DGKI",0.0035,0.0332,1.94,"SMC1"
"CAMK1D...519","CAMK1D",0.0035,0.0332,1.34,"SMC1"
"RET","RET",0.0035,0.0333,1.49,"SMC1"
"EEFSEC","EEFSEC",0.0035,0.0333,1.12,"SMC1"
"RFC3...522","RFC3",0.0035,0.0333,1.38,"SMC1"
"CUX1","CUX1",0.0056,0.0335,1.44,"FAP4"
"CTSK","CTSK",0.0036,0.0336,1.93,"SMC1"
"LUM","LUM",0.0036,0.0336,3.86,"SMC1"
"PRICKLE1","PRICKLE1",0.0036,0.0337,2.34,"SMC1"
"UST","UST",0.0036,0.0337,1.81,"SMC1"
"ANXA2","ANXA2",0.0036,0.0337,1.07,"SMC1"
"TANC1","TANC1",1e-04,0.0341,5.51,"FAP1"
"FOXN3","FOXN3",0.0037,0.0343,1.06,"SMC1"
"ADGRD1","ADGRD1",0.0038,0.0343,4.46,"SMC1"
"CILP","CILP",0.0038,0.0343,4.14,"SMC1"
"SLC41A2","SLC41A2",0.0038,0.0343,2.85,"SMC1"
"OAF","OAF",0.0038,0.0343,1.72,"SMC1"
"RAB27A","RAB27A",0.0038,0.0343,1.41,"SMC1"
"BNC2","BNC2",0.0038,0.0344,4.32,"SMC1"
"ZBTB7C","ZBTB7C",0,0.0347,1.91,"FAP2"
"SORBS2...538","SORBS2",0,0.0347,5.65,"FAP2"
"LINC01290","LINC01290",0.0039,0.0347,1.29,"SMC1"
"CDK14","CDK14",0.0062,0.0352,3.57,"FAP4"
"PLCB1","PLCB1",0.0062,0.0352,2.01,"FAP4"
"CORO2B","CORO2B",0.0039,0.0353,1.96,"SMC1"
"PSD3","PSD3",0.0064,0.0354,2.49,"FAP4"
"ANTXR2...544","ANTXR2",0,0.0355,1.93,"SMC2"
"S1PR3","S1PR3",0.004,0.0358,2.07,"SMC1"
"C6orf89","C6orf89",0.0041,0.036,1.08,"SMC1"
"TTLL3","TTLL3",0.0041,0.036,1.28,"SMC1"
"LAMC1","LAMC1",0.0041,0.036,1.5,"SMC1"
"ZNF274","ZNF274",3e-04,0.0361,1.7,"MSM"
"TMEM100","TMEM100",0.0041,0.0361,1.89,"SMC1"
"PLCL2","PLCL2",0.0041,0.0361,1.22,"SMC1"
"DCLK1","DCLK1",0.0041,0.0361,2.33,"SMC1"
"KDM6B","KDM6B",0.0041,0.0361,1.07,"SMC1"
"SLC4A7","SLC4A7",0.0042,0.0362,1.71,"SMC1"
"UGDH...555","UGDH",0.0068,0.0364,3.41,"FAP4"
"MT-ND1","MT-ND1",0.0068,0.0364,1.09,"FAP4"
"SYNE2","SYNE2",4e-04,0.0365,3.27,"FAP3"
"MEPCE","MEPCE",4e-04,0.0367,1.63,"FAP3"
"HAS2","HAS2",0.0043,0.0367,2.54,"SMC1"
"AL355838.1...560","AL355838.1",1e-04,0.0369,3.55,"FAP1"
"TMEM184B","TMEM184B",4e-04,0.0369,1.61,"FAP3"
"AL121985.1","AL121985.1",0,0.0371,3.29,"EC1"
"AL136962.1","AL136962.1",0,0.0371,3.32,"EC1"
"NLGN4X","NLGN4X",0,0.0371,3.3,"EC1"
"PTPRG","PTPRG",0.007,0.0371,4.74,"FAP4"
"PRKG1","PRKG1",0.0071,0.0371,4.88,"FAP4"
"EXOC6B","EXOC6B",0.0072,0.0371,1.92,"FAP4"
"RPLP1","RPLP1",0.0072,0.0371,1.39,"FAP4"
"MARCH3","MARCH3",0.0043,0.0372,1.35,"SMC1"
"AL078604.4...570","AL078604.4",4e-04,0.0374,1.63,"FAP3"
"SDK1","SDK1",0.0044,0.0378,2.53,"SMC1"
"CPNE8","CPNE8",4e-04,0.038,7.32,"MSM"
"KITLG","KITLG",0.0044,0.038,1.97,"SMC1"
"CFAP61","CFAP61",4e-04,0.0382,3.33,"MSM"
"SKAP2","SKAP2",4e-04,0.0384,2.86,"FAP3"
"HSD11B1","HSD11B1",0.0045,0.0384,4.36,"SMC1"
"KCNT2","KCNT2",0.0045,0.0384,3.78,"SMC1"
"TSPAN4","TSPAN4",0.0045,0.0384,1.38,"SMC1"
"DSCAML1","DSCAML1",0.0045,0.0384,1.51,"SMC1"
"HMCN2","HMCN2",0.0045,0.0384,3.76,"SMC1"
"SCN7A","SCN7A",0.0045,0.0384,2.54,"SMC1"
"SLC39A8","SLC39A8",4e-04,0.0386,1.63,"FAP3"
"SLC16A7...583","SLC16A7",4e-04,0.0386,1.21,"FAP3"
"DPYSL3","DPYSL3",0.0046,0.0386,2.55,"SMC1"
"AC099489.1","AC099489.1",0.0046,0.0386,2.22,"SMC1"
"DLGAP1","DLGAP1",0.0046,0.0386,2.11,"SMC1"
"AC104758.5","AC104758.5",1e-04,0.0387,2.23,"FAP1"
"PLK3","PLK3",0.0046,0.0387,1.31,"SMC1"
"SFXN5","SFXN5",0.0047,0.039,1.88,"SMC1"
"PRH1","PRH1",0.0048,0.0392,1.07,"SMC1"
"CYB5D1","CYB5D1",0.0048,0.0393,3.16,"SMC1"
"F3","F3",0.0048,0.0393,2.47,"SMC1"
"ITGA5","ITGA5",0.0048,0.0393,1.33,"SMC1"
"SLC43A3","SLC43A3",0.0048,0.0393,1.51,"SMC1"
"PLXDC1","PLXDC1",0.0048,0.0394,1.97,"SMC1"
"DUSP22","DUSP22",0.0048,0.0394,1.23,"SMC1"
"AL033523.1...597","AL033523.1",1e-04,0.0396,1.71,"FAP1"
"L3MBTL4","L3MBTL4",1e-04,0.0396,6.19,"FAP1"
"CP...599","CP",4e-04,0.0399,2.86,"FAP3"
"RMDN2-AS1...600","RMDN2-AS1",5e-04,0.0399,1.62,"FAP3"
"CAMK1D...601","CAMK1D",0.0079,0.0399,3.36,"FAP4"
"TMSB4X","TMSB4X",0.008,0.0399,3.25,"FAP4"
"GEM...603","GEM",0.0081,0.0401,3.48,"FAP4"
"PRG4...604","PRG4",0.0081,0.0401,8.73,"FAP4"
"LINC00880","LINC00880",5e-04,0.0404,2.1,"FAP3"
"NABP1...606","NABP1",5e-04,0.0404,1.48,"FAP3"
"ARHGAP42","ARHGAP42",4e-04,0.0405,2.87,"MSM"
"RAMP1","RAMP1",4e-04,0.0405,2.11,"MSM"
"TIAM1","TIAM1",0.005,0.0406,4.04,"SMC1"
"GBP2","GBP2",0.005,0.0407,1.51,"SMC1"
"COLEC12","COLEC12",0.0051,0.0407,4.24,"SMC1"
"GOLIM4","GOLIM4",0.0051,0.0407,1.02,"SMC1"
"NFIX","NFIX",0.0051,0.0409,1.04,"SMC1"
"ADAMTS3","ADAMTS3",0.0051,0.0409,3.1,"SMC1"
"CES1","CES1",5e-04,0.041,1.71,"FAP3"
"SERPINE3...616","SERPINE3",5e-04,0.041,1.85,"FAP3"
"RFC3...617","RFC3",5e-04,0.0413,1.69,"FAP3"
"PLA2G2A...618","PLA2G2A",2e-04,0.0414,3.95,"FAP1"
"STEAP2-AS1","STEAP2-AS1",2e-04,0.0414,1.94,"FAP1"
"MPPED2","MPPED2",2e-04,0.0414,1.39,"FAP1"
"ARL4C","ARL4C",2e-04,0.0414,1.67,"FAP1"
"CGNL1","CGNL1",2e-04,0.0414,1.22,"FAP1"
"AC009262.1","AC009262.1",2e-04,0.0414,1.9,"FAP1"
"OAS3","OAS3",2e-04,0.0414,3.6,"FAP1"
"PRDM16","PRDM16",2e-04,0.0414,3.46,"FAP1"
"THEGL","THEGL",2e-04,0.0416,1.89,"FAP1"
"PDGFC","PDGFC",4e-04,0.0416,2.49,"MSM"
"AC114971.1","AC114971.1",5e-04,0.042,3.94,"FAP3"
"AC006460.2...629","AC006460.2",6e-04,0.0422,1.32,"FAP3"
"LINC02245","LINC02245",6e-04,0.0422,1.57,"FAP3"
"NUP210L","NUP210L",6e-04,0.0422,1.74,"FAP3"
"RELN","RELN",4e-04,0.0423,3.42,"MSM"
"COBLL1","COBLL1",4e-04,0.0423,6.1,"MSM"
"RARB","RARB",4e-04,0.0423,2.2,"MSM"
"SLC9A1","SLC9A1",0.0054,0.0424,1,"SMC1"
"NTN4","NTN4",0.0054,0.0424,1.62,"SMC1"
"WWTR1","WWTR1",0.0054,0.0424,1.4,"SMC1"
"SOD2...638","SOD2",0.0088,0.0424,3.62,"FAP4"
"TMEM255A","TMEM255A",2e-04,0.0425,2.33,"FAP1"
"EPHA2","EPHA2",2e-04,0.0425,2.21,"FAP1"
"LOXL4","LOXL4",5e-04,0.0425,3.27,"MSM"
"HSD17B11","HSD17B11",0.0054,0.0425,1.18,"SMC1"
"EPHA7...643","EPHA7",6e-04,0.0426,3.47,"FAP3"
"RNF146","RNF146",0.0054,0.0427,2.04,"SMC1"
"SAA2","SAA2",5e-04,0.043,4.18,"MSM"
"MYH8","MYH8",5e-04,0.043,4.58,"MSM"
"RABGEF1","RABGEF1",0.009,0.0431,1.97,"FAP4"
"LINC02207","LINC02207",0,0.0432,2.49,"MuSC"
"PLEKHA6...649","PLEKHA6",5e-04,0.0432,3.4,"MSM"
"DHRS3","DHRS3",5e-04,0.0432,2.3,"MSM"
"PIGL","PIGL",0.0055,0.0433,1.07,"SMC1"
"WNT9A","WNT9A",0.0056,0.0437,2.99,"SMC1"
"C9","C9",0.0056,0.0437,1.63,"SMC1"
"ETS1","ETS1",0.0056,0.0437,1.15,"SMC1"
"TBX18...655","TBX18",6e-04,0.0445,1.21,"FAP3"
"JDP2","JDP2",0.0057,0.0445,1.32,"SMC1"
"CALCRL","CALCRL",0.0058,0.0445,2.34,"SMC1"
"EFEMP1","EFEMP1",0.0058,0.0447,4.28,"SMC1"
"EIF3J-DT","EIF3J-DT",0.0058,0.0449,1.07,"SMC1"
"AL355838.1...660","AL355838.1",5e-04,0.0452,3.07,"MSM"
"SP110","SP110",5e-04,0.0452,3.65,"MSM"
"ICAM4","ICAM4",2e-04,0.0456,4.39,"FAP1"
"ZC3H12C","ZC3H12C",0.006,0.0456,1.96,"SMC1"
"SCARA5...664","SCARA5",0.0099,0.0457,3.68,"FAP4"
"DLC1","DLC1",0.0099,0.0457,1.61,"FAP4"
"FN1...666","FN1",1e-04,0.0458,2.15,"SMC2"
"ANKH...667","ANKH",0.01,0.0458,3.28,"FAP4"
"LMO3","LMO3",3e-04,0.0462,2.33,"FAP1"
"PBK","PBK",3e-04,0.0462,1.68,"FAP1"
"TBX18...670","TBX18",3e-04,0.0462,1.26,"FAP1"
"PDZRN4...671","PDZRN4",3e-04,0.0462,2.26,"FAP1"
"AL513166.1...672","AL513166.1",3e-04,0.0462,1.06,"FAP1"
"OSMR-AS1","OSMR-AS1",5e-04,0.0462,4.94,"MSM"
"HELLPAR...674","HELLPAR",6e-04,0.0462,3.3,"MSM"
"ICAM1...675","ICAM1",0.0061,0.0465,3.49,"SMC1"
"RORB...676","RORB",7e-04,0.0467,2.18,"FAP3"
"PLEKHA6...677","PLEKHA6",7e-04,0.0468,1.94,"FAP3"
"AL078604.4...678","AL078604.4",0.0106,0.0469,5.99,"FAP4"
"CD44","CD44",0.0106,0.0469,2.93,"FAP4"
"ADGRB3","ADGRB3",7e-04,0.047,2.71,"FAP3"
"TPRG1...681","TPRG1",7e-04,0.047,1.25,"FAP3"
"SMAD3","SMAD3",7e-04,0.047,1,"FAP3"
"AL033523.1...683","AL033523.1",7e-04,0.0471,1.66,"FAP3"
"C1R...684","C1R",0.0108,0.0473,4.02,"FAP4"
"RSPO3...685","RSPO3",3e-04,0.0474,1.72,"FAP1"
"DHDH","DHDH",8e-04,0.0474,1.42,"FAP3"
"FBXO10","FBXO10",0.0063,0.0475,1.31,"SMC1"
"RORB...688","RORB",1e-04,0.0476,4.28,"SMC2"
"FBXL7","FBXL7",0.011,0.0476,2.71,"FAP4"
"EFCAB13...690","EFCAB13",0,0.0478,2.23,"FAP2"
"PDIA4","PDIA4",0.0063,0.0478,1.57,"SMC1"
"DEPDC1B","DEPDC1B",0,0.0482,2.23,"EC2"
"LGI4","LGI4",3e-04,0.0482,1.62,"FAP1"
"CNTN3","CNTN3",3e-04,0.0483,2.58,"FAP1"
"AL359232.1","AL359232.1",0.0064,0.0484,1.72,"SMC1"
"EPHA7...696","EPHA7",0.0065,0.0485,4.48,"SMC1"
"OS9","OS9",0.0065,0.0485,1.08,"SMC1"
"PXDN","PXDN",0.0065,0.0485,1.31,"SMC1"
"COL6A3","COL6A3",0.0065,0.0487,1.97,"SMC1"
"PIP5K1B","PIP5K1B",6e-04,0.0489,2.18,"MSM"
"MORC4","MORC4",6e-04,0.0489,2.37,"MSM"
"TPRG1...702","TPRG1",6e-04,0.0489,2.24,"MSM"
"ERRFI1","ERRFI1",0.0116,0.0494,3.49,"FAP4"
"CNTFR","CNTFR",3e-04,0.0496,2.47,"FAP1"
