"","TF","target_gene","reg_score","reg_score_signed","Cor","Cover","Frequency","avg_log2FC_deg","p_val_adj_deg","avg_log2FC_positive","p_val_adj_positive","avg_log2FC_negative","p_val_adj_negative","module","kME","direction","peak_region","peak_score","peak_z","peak_pval","n_linkpeaks_tests","peak_pval_bonferroni"
"11","TCF4","SMAD3",0.00395733965802926,-0.00395733965802926,-0.383406386217838,0.01,0.01,-0.392955696673764,0.000507058277643418,-0.162090642927268,3.9995246550179e-05,0.279091596414315,1.49050469069819e-33,"turquoise",0.508413914118863,"Young_up","chr15-67078953-67079987",0.0551581062682639,4.65996855868007,1.58128844282221e-06,200,0.000316257688564442
"12","TCF4","SMAD3",0.00395733965802926,-0.00395733965802926,-0.383406386217838,0.01,0.01,-0.392955696673764,0.000507058277643418,-0.162090642927268,3.9995246550179e-05,0.279091596414315,1.49050469069819e-33,"turquoise",0.508413914118863,"Young_up","chr15-67106387-67107602",0.0519108042920278,4.20837300539076,1.28608010749778e-05,200,0.00257216021499556
"13","EBF1","SMAD3",0.00202000178377659,-0.00202000178377659,-0.175399485613408,0.012,0.012,0.393491509818659,1.38017637761766e-05,0.156438535856682,5.46554314001986e-06,-0.292363204607724,9.92146377497883e-20,"turquoise",0.326939438064383,"Aged_up","chr15-67106387-67107602",0.0519108042920278,4.20837300539076,1.28608010749778e-05,200,0.00257216021499556
"14","EBF1","SMAD3",0.00202000178377659,-0.00202000178377659,-0.175399485613408,0.012,0.012,0.393491509818659,1.38017637761766e-05,0.156438535856682,5.46554314001986e-06,-0.292363204607724,9.92146377497883e-20,"turquoise",0.326939438064383,"Aged_up","chr15-67109227-67110381",0.0685089720403111,5.07039863416899,1.98491655330818e-07,200,3.96983310661636e-05
"15","EBF1","SMAD3",0.00202000178377659,-0.00202000178377659,-0.175399485613408,0.012,0.012,0.393491509818659,1.38017637761766e-05,0.156438535856682,5.46554314001986e-06,-0.292363204607724,9.92146377497883e-20,"turquoise",0.326939438064383,"Aged_up","chr15-67198215-67198971",0.0560560235199917,5.50438511954791,1.85229466922154e-08,200,3.70458933844308e-06
"16","EBF3","SMAD3",0.000717756455396749,-0.000717756455396749,-0.415639554833041,0.004,0.004,-0.524661990453342,0.0293238589971341,-0.229719535660525,2.49056902884016e-07,0.349943856745479,4.04135908505088e-37,"turquoise",0.366476719415605,"Young_up","chr15-67106387-67107602",0.0519108042920278,4.20837300539076,1.28608010749778e-05,200,0.00257216021499556
"17","EBF3","SMAD3",0.000717756455396749,-0.000717756455396749,-0.415639554833041,0.004,0.004,-0.524661990453342,0.0293238589971341,-0.229719535660525,2.49056902884016e-07,0.349943856745479,4.04135908505088e-37,"turquoise",0.366476719415605,"Young_up","chr15-67171903-67172910",0.0523526052952842,4.58937343636472,2.22289228522594e-06,200,0.000444578457045188
"18","MXI1","SMAD3",0,0,-0.150916746565465,0,0,-1.02871970214291,0.000813778143817455,-0.218892373590145,2.72006319074247e-08,0.0106864549868457,1,"turquoise",0.119854781281256,"Young_up","chr15-67078953-67079987",0.0551581062682639,4.65996855868007,1.58128844282221e-06,200,0.000316257688564442
"19","MXI1","SMAD3",0,0,-0.150916746565465,0,0,-1.02871970214291,0.000813778143817455,-0.218892373590145,2.72006319074247e-08,0.0106864549868457,1,"turquoise",0.119854781281256,"Young_up","chr15-67109227-67110381",0.0685089720403111,5.07039863416899,1.98491655330818e-07,200,3.96983310661636e-05
"20","MXI1","SMAD3",0,0,-0.150916746565465,0,0,-1.02871970214291,0.000813778143817455,-0.218892373590145,2.72006319074247e-08,0.0106864549868457,1,"turquoise",0.119854781281256,"Young_up","chr15-67171903-67172910",0.0523526052952842,4.58937343636472,2.22289228522594e-06,200,0.000444578457045188
"21","MXI1","SMAD3",0,0,-0.150916746565465,0,0,-1.02871970214291,0.000813778143817455,-0.218892373590145,2.72006319074247e-08,0.0106864549868457,1,"turquoise",0.119854781281256,"Young_up","chr15-67198215-67198971",0.0560560235199917,5.50438511954791,1.85229466922154e-08,200,3.70458933844308e-06
"22","POU2F3","SMAD3",0,0,0.0584398401118032,0,0,1.55098881314896,0.00186062180068675,0.546241259874561,5.70702959325814e-47,-0.111052110637909,0.0030648918358979,"blue",0.310910529835178,"Aged_up","chr15-67198215-67198971",0.0560560235199917,5.50438511954791,1.85229466922154e-08,200,3.70458933844308e-06
